epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6891,2.04597,4.54374,0.00262,0.72688,0.6855,0.74634,0.38432,1.6145,1.2052,0.00272,0.000198305,0.000198305,0.0803678
2,33.1226,1.70046,1.11062,0.00182,0.70512,0.68838,0.75854,0.39281,1.54959,1.1525,0.00235,0.000398281,0.000398281,0.0605678
3,43.4082,1.63832,0.99957,0.00172,0.70829,0.79464,0.78689,0.45731,1.39985,1.2832,0.00218,0.000598159,0.000598159,0.0407677
4,53.6334,1.49404,1.00608,0.00162,0.6994,0.76853,0.76519,0.48438,1.28619,1.09346,0.00187,0.000797866,0.000797866,0.0209674
5,63.9057,1.44004,0.98645,0.00157,0.78811,0.82279,0.87324,0.54446,1.24443,0.89581,0.00184,0.00099733,0.00099733,0.00116682
6,74.0434,1.41136,0.93852,0.00149,0.74105,0.79783,0.83883,0.54068,1.21195,0.96897,0.00163,0.000998474,0.000998474,0.000998474
7,84.0049,1.41204,0.92034,0.00151,0.77079,0.82727,0.8822,0.55287,1.26891,0.92685,0.00175,0.000997803,0.000997803,0.000997803
8,94.0077,1.49188,0.88619,0.00155,0.77948,0.85152,0.88944,0.56612,1.23362,0.95562,0.00205,0.000997011,0.000997011,0.000997011
9,104.021,1.39585,0.99837,0.00157,0.81243,0.81377,0.8903,0.54968,1.32087,0.96514,0.00202,0.000996097,0.000996097,0.000996097
10,113.954,1.35329,0.9415,0.00135,0.82075,0.82727,0.90974,0.58856,1.24165,0.79502,0.00183,0.000995062,0.000995062,0.000995062
11,124.228,1.39025,0.86136,0.00149,0.7795,0.78485,0.85913,0.51268,1.26746,1.13089,0.00192,0.000993906,0.000993906,0.000993906
12,134.5,1.34236,0.95927,0.00143,0.74298,0.79697,0.84095,0.5358,1.133,1.02188,0.00154,0.000992629,0.000992629,0.000992629
13,144.758,1.32635,0.90163,0.00137,0.77705,0.80303,0.87502,0.59464,1.06612,0.87673,0.00156,0.000991232,0.000991232,0.000991232
14,155.256,1.29215,0.86293,0.00132,0.78654,0.83333,0.86509,0.559,1.15376,0.92779,0.00165,0.000989715,0.000989715,0.000989715
15,165.573,1.3035,0.88858,0.00133,0.79187,0.80704,0.89279,0.60769,1.08799,0.7878,0.00159,0.000988079,0.000988079,0.000988079
16,175.91,1.28184,0.89687,0.00145,0.77108,0.8303,0.87076,0.61961,1.01178,0.82287,0.00147,0.000986323,0.000986323,0.000986323
17,186.304,1.2783,0.88301,0.00137,0.80788,0.85152,0.90627,0.62493,1.13127,0.71794,0.00168,0.000984449,0.000984449,0.000984449
18,196.738,1.28297,0.81848,0.00135,0.78552,0.86667,0.88054,0.55629,1.2724,0.84025,0.00201,0.000982456,0.000982456,0.000982456
19,206.997,1.26005,0.91068,0.00141,0.77065,0.77576,0.86991,0.47674,1.35546,1.02799,0.00195,0.000980345,0.000980345,0.000980345
20,217.291,1.23898,0.83938,0.00134,0.80197,0.8,0.88331,0.58165,1.19309,0.85215,0.00168,0.000978118,0.000978118,0.000978118
21,227.675,1.18453,0.77636,0.00134,0.82945,0.85152,0.92002,0.67641,0.96087,0.73237,0.00136,0.000975773,0.000975773,0.000975773
22,238.114,1.21635,0.76637,0.00124,0.80159,0.90606,0.9278,0.68337,0.97354,0.65134,0.00147,0.000973312,0.000973312,0.000973312
23,248.513,1.25801,0.75149,0.00133,0.80611,0.85758,0.88775,0.645,1.00528,0.70736,0.00128,0.000970736,0.000970736,0.000970736
24,258.862,1.19097,0.73997,0.00119,0.8257,0.86133,0.90615,0.68777,0.93934,0.67643,0.00125,0.000968045,0.000968045,0.000968045
25,269.201,1.19784,0.67316,0.00123,0.88506,0.88665,0.94255,0.65627,1.08199,0.65897,0.0014,0.000965239,0.000965239,0.000965239
26,279.52,1.20971,0.71077,0.00122,0.88931,0.85208,0.93078,0.64202,1.1105,0.69886,0.00143,0.00096232,0.00096232,0.00096232
27,289.722,1.19604,0.67776,0.00122,0.84962,0.87273,0.92534,0.6814,0.98512,0.66089,0.00132,0.000959289,0.000959289,0.000959289
28,299.812,1.18383,0.66465,0.00121,0.79434,0.81212,0.87782,0.53881,1.32069,0.80612,0.00166,0.000956145,0.000956145,0.000956145
29,309.842,1.19685,0.66627,0.00122,0.84161,0.90172,0.93666,0.70764,0.93116,0.59049,0.00127,0.000952889,0.000952889,0.000952889
30,320.185,1.13819,0.65322,0.00115,0.87734,0.96061,0.95563,0.69796,1.02578,0.52532,0.00141,0.000949524,0.000949524,0.000949524
31,330.201,1.13473,0.60333,0.00118,0.91396,0.93349,0.97326,0.73073,0.95655,0.50833,0.0013,0.000946048,0.000946048,0.000946048
32,340.363,1.17628,0.6221,0.00119,0.92366,0.8697,0.94799,0.6785,1.06246,0.55116,0.00143,0.000942464,0.000942464,0.000942464
33,350.398,1.14188,0.61132,0.00114,0.87162,0.92727,0.95128,0.73333,0.88895,0.54194,0.00115,0.000938772,0.000938772,0.000938772
34,360.496,1.12928,0.63285,0.00116,0.89303,0.8854,0.94969,0.61807,1.29492,0.5925,0.00173,0.000934973,0.000934973,0.000934973
35,370.552,1.13309,0.59979,0.00119,0.86658,0.90535,0.94293,0.70108,0.97028,0.53022,0.00127,0.000931067,0.000931067,0.000931067
36,380.556,1.14358,0.59726,0.00116,0.86567,0.8788,0.93928,0.57491,1.33894,0.67176,0.00175,0.000927057,0.000927057,0.000927057
37,390.625,1.11722,0.52775,0.00113,0.88149,0.94665,0.96549,0.74561,0.89929,0.43357,0.00117,0.000922942,0.000922942,0.000922942
38,400.787,1.07236,0.55406,0.00114,0.88737,0.93108,0.96616,0.66177,1.15592,0.56622,0.00163,0.000918725,0.000918725,0.000918725
39,410.899,1.08412,0.51021,0.00105,0.90251,0.96364,0.97066,0.70464,1.03874,0.48642,0.00129,0.000914405,0.000914405,0.000914405
40,421.014,1.15183,0.5807,0.00113,0.89791,0.87955,0.95531,0.69681,1.00681,0.54207,0.00126,0.000909984,0.000909984,0.000909984
41,431.115,1.12365,0.55189,0.0011,0.85302,0.96364,0.95634,0.71705,0.93998,0.47902,0.00134,0.000905463,0.000905463,0.000905463
42,441.169,1.0805,0.51475,0.00112,0.94212,0.93721,0.9786,0.72386,1.00333,0.41357,0.00135,0.000900844,0.000900844,0.000900844
