run_name,model,lr0,weight_decay,imgsz,optimizer,epochs,batch,cos_lr,val_precision,val_recall,val_mAP50,val_mAP50_95,train_seconds,timestamp
sweep__yolo26s__lr1e-03__wd5e-04__img640__AdamW__ep35__20260421-185435,yolo26s,0.001,0.0005,640,AdamW,35,8,False,0.66252,0.72121,0.71634,0.34547,237.1,20260421-185435
sweep__yolo26s__lr1e-03__wd5e-04__img640__SGD__ep35__20260421-185833,yolo26s,0.001,0.0005,640,SGD,35,8,False,0.212,0.18751,0.13836,0.06589,224.8,20260421-185833
sweep__yolo26s__lr1e-03__wd5e-04__img960__AdamW__ep35__20260421-190217,yolo26s,0.001,0.0005,960,AdamW,35,8,False,0.78913,0.70307,0.75094,0.34622,368.1,20260421-190217
sweep__yolo26s__lr1e-03__wd5e-04__img960__SGD__ep35__20260421-190826,yolo26s,0.001,0.0005,960,SGD,35,8,False,0.43992,0.29752,0.32695,0.15974,353.3,20260421-190826
sweep__yolo26s__lr1e-03__wd1e-03__img640__AdamW__ep35__20260421-191419,yolo26s,0.001,0.001,640,AdamW,35,8,False,0.67295,0.5303,0.53309,0.16755,229.3,20260421-191419
sweep__yolo26s__lr1e-03__wd1e-03__img640__SGD__ep35__20260421-191808,yolo26s,0.001,0.001,640,SGD,35,8,False,0.17935,0.15455,0.12899,0.0619,226.9,20260421-191808
sweep__yolo26s__lr1e-03__wd1e-03__img960__AdamW__ep35__20260421-192155,yolo26s,0.001,0.001,960,AdamW,35,8,False,0.76659,0.79619,0.77459,0.40812,357.1,20260421-192155
sweep__yolo26s__lr1e-03__wd1e-03__img960__SGD__ep35__20260421-192753,yolo26s,0.001,0.001,960,SGD,35,8,False,0.33393,0.16667,0.22448,0.10219,353.2,20260421-192753
sweep__yolo26s__lr5e-03__wd5e-04__img640__AdamW__ep35__20260421-193346,yolo26s,0.005,0.0005,640,AdamW,35,8,False,0.66389,0.69091,0.61141,0.24604,229.4,20260421-193346
sweep__yolo26s__lr5e-03__wd5e-04__img640__SGD__ep35__20260421-193735,yolo26s,0.005,0.0005,640,SGD,35,8,False,0.70063,0.70211,0.69439,0.34262,226.4,20260421-193735
sweep__yolo26s__lr5e-03__wd5e-04__img960__AdamW__ep35__20260421-194122,yolo26s,0.005,0.0005,960,AdamW,35,8,False,0.64779,0.69697,0.65821,0.2914,357.3,20260421-194122
sweep__yolo26s__lr5e-03__wd5e-04__img960__SGD__ep35__20260421-194719,yolo26s,0.005,0.0005,960,SGD,35,8,False,0.71429,0.7303,0.70872,0.32308,358.5,20260421-194719
sweep__yolo26s__lr5e-03__wd1e-03__img640__AdamW__ep35__20260421-195318,yolo26s,0.005,0.001,640,AdamW,35,8,False,0.40518,0.58209,0.35007,0.12232,233.0,20260421-195318
sweep__yolo26s__lr5e-03__wd1e-03__img640__SGD__ep35__20260421-195711,yolo26s,0.005,0.001,640,SGD,35,8,False,0.77625,0.75758,0.77771,0.39544,227.9,20260421-195711
sweep__yolo26s__lr5e-03__wd1e-03__img960__AdamW__ep35__20260421-200059,yolo26s,0.005,0.001,960,AdamW,35,8,False,0.7101,0.71258,0.66675,0.29134,357.3,20260421-200059
sweep__yolo26s__lr5e-03__wd1e-03__img960__SGD__ep35__20260421-200656,yolo26s,0.005,0.001,960,SGD,35,8,False,0.66596,0.68872,0.61336,0.26634,354.5,20260421-200656
sweep__yolo26s__lr1e-02__wd5e-04__img640__AdamW__ep35__20260421-201251,yolo26s,0.01,0.0005,640,AdamW,35,8,False,0.36606,0.34848,0.23711,0.0546,229.7,20260421-201251
sweep__yolo26s__lr1e-02__wd5e-04__img640__SGD__ep35__20260421-201640,yolo26s,0.01,0.0005,640,SGD,35,8,False,0.77671,0.76947,0.78585,0.39119,228.1,20260421-201640
sweep__yolo26s__lr1e-02__wd5e-04__img960__AdamW__ep35__20260421-202028,yolo26s,0.01,0.0005,960,AdamW,35,8,False,0.0,0.0,0.0,0.0,358.6,20260421-202028
sweep__yolo26s__lr1e-02__wd5e-04__img960__SGD__ep35__20260421-202627,yolo26s,0.01,0.0005,960,SGD,35,8,False,0.70321,0.78182,0.75925,0.3832,354.9,20260421-202627
sweep__yolo26s__lr1e-02__wd1e-03__img640__AdamW__ep35__20260421-203222,yolo26s,0.01,0.001,640,AdamW,35,8,False,0.41244,0.46061,0.25292,0.05459,228.9,20260421-203222
sweep__yolo26s__lr1e-02__wd1e-03__img640__SGD__ep35__20260421-203611,yolo26s,0.01,0.001,640,SGD,35,8,False,0.75189,0.65455,0.66205,0.32385,227.8,20260421-203611
sweep__yolo26s__lr1e-02__wd1e-03__img960__AdamW__ep35__20260421-203959,yolo26s,0.01,0.001,960,AdamW,35,8,False,0.3845,0.27273,0.21052,0.05917,357.7,20260421-203959
sweep__yolo26s__lr1e-02__wd1e-03__img960__SGD__ep35__20260421-204557,yolo26s,0.01,0.001,960,SGD,35,8,False,0.72374,0.7145,0.71782,0.33743,353.8,20260421-204557
