epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.16463,1.82182,2.68499,0.96019,0.74521,0.76223,0.79318,0.47051,1.46218,1.0736,0.86435,0.000198305,0.000198305,0.0803678
2,17.66,1.58871,0.96673,0.89557,0.82802,0.81515,0.82653,0.49819,1.49253,0.93563,0.86373,0.000398208,0.000398208,0.0605677
3,25.9853,1.59968,0.96186,0.89888,0.72208,0.73939,0.75725,0.45303,1.45591,1.11195,0.88525,0.000597721,0.000597721,0.0407672
4,34.1465,1.5416,0.93955,0.89239,0.74576,0.83939,0.83098,0.48178,1.41681,0.95293,0.86638,0.000796551,0.000796551,0.020966
5,42.2869,1.46212,0.93596,0.88079,0.70266,0.83333,0.70666,0.40207,1.4597,1.02235,0.87386,0.000994408,0.000994408,0.0011639
6,50.4581,1.46454,0.93357,0.8893,0.81197,0.83749,0.81107,0.46658,1.59029,0.89242,0.86924,0.000993906,0.000993906,0.000993906
7,58.5941,1.4934,0.91039,0.89644,0.7757,0.86983,0.84695,0.5203,1.44898,0.93805,0.86627,0.000991232,0.000991232,0.000991232
8,66.744,1.476,0.91038,0.87944,0.77441,0.86364,0.83484,0.51118,1.42527,0.89191,0.85941,0.000988079,0.000988079,0.000988079
9,74.893,1.45456,0.91432,0.88466,0.83367,0.8202,0.85469,0.52613,1.50335,0.84165,0.87034,0.000984449,0.000984449,0.000984449
10,83.0982,1.45647,0.89526,0.87262,0.82867,0.82078,0.8395,0.50377,1.52011,0.82888,0.85447,0.000980345,0.000980345,0.000980345
11,91.202,1.39866,0.86821,0.86746,0.8253,0.85758,0.85738,0.51209,1.4291,0.83191,0.84386,0.000975773,0.000975773,0.000975773
12,99.3133,1.42801,0.85715,0.86498,0.7599,0.80606,0.84573,0.54917,1.31721,0.83489,0.83636,0.000970736,0.000970736,0.000970736
13,107.465,1.41403,0.87298,0.86752,0.86694,0.86874,0.90499,0.60154,1.21843,0.73961,0.83602,0.000965239,0.000965239,0.000965239
14,115.656,1.37537,0.85162,0.85865,0.78516,0.85152,0.86659,0.55439,1.30481,0.82927,0.85312,0.000959289,0.000959289,0.000959289
15,123.764,1.37665,0.85437,0.86704,0.85794,0.87842,0.89688,0.58828,1.2272,0.77331,0.84599,0.000952889,0.000952889,0.000952889
16,131.871,1.36915,0.87396,0.86402,0.75911,0.86061,0.81537,0.51535,1.36126,0.9066,0.8447,0.000946048,0.000946048,0.000946048
17,140.045,1.37568,0.88507,0.8544,0.71849,0.8303,0.78603,0.49483,1.30172,0.86838,0.83432,0.000938772,0.000938772,0.000938772
18,148.191,1.34303,0.86338,0.85342,0.88627,0.89697,0.91865,0.59939,1.25026,0.76592,0.8353,0.000931067,0.000931067,0.000931067
19,156.292,1.38086,0.85026,0.86545,0.86818,0.83825,0.86997,0.55695,1.32708,0.77141,0.84346,0.000922942,0.000922942,0.000922942
20,164.411,1.33719,0.8288,0.86133,0.86617,0.88788,0.92955,0.60108,1.18948,0.74379,0.82749,0.000914405,0.000914405,0.000914405
21,172.486,1.33616,0.82444,0.8624,0.84804,0.85455,0.85037,0.54054,1.27664,0.77415,0.84198,0.000905463,0.000905463,0.000905463
22,180.577,1.34892,0.82206,0.84986,0.86145,0.86671,0.91067,0.61058,1.17357,0.72177,0.82563,0.000896127,0.000896127,0.000896127
23,188.745,1.33051,0.8124,0.85455,0.85148,0.80909,0.85904,0.54417,1.35314,0.76816,0.8349,0.000886404,0.000886404,0.000886404
24,196.857,1.29123,0.78624,0.84799,0.8532,0.89821,0.91582,0.61448,1.13798,0.71964,0.82971,0.000876305,0.000876305,0.000876305
25,205.033,1.24657,0.81063,0.84892,0.82081,0.86063,0.86163,0.57857,1.17324,0.76051,0.82173,0.000865839,0.000865839,0.000865839
26,213.164,1.32137,0.80947,0.85197,0.87107,0.85758,0.88474,0.58267,1.24589,0.74926,0.82346,0.000855018,0.000855018,0.000855018
27,221.27,1.24248,0.79795,0.85292,0.8114,0.8697,0.86435,0.5587,1.2203,0.75611,0.82316,0.000843851,0.000843851,0.000843851
28,229.396,1.26988,0.78661,0.85139,0.81531,0.85612,0.83476,0.5321,1.30786,0.76777,0.82902,0.000832349,0.000832349,0.000832349
29,237.529,1.28512,0.80425,0.84716,0.85285,0.89697,0.89676,0.60152,1.23978,0.71374,0.82279,0.000820525,0.000820525,0.000820525
30,245.672,1.23429,0.79748,0.83656,0.86296,0.89688,0.91208,0.61035,1.18331,0.70523,0.81924,0.000808389,0.000808389,0.000808389
31,253.803,1.21489,0.80163,0.85142,0.8788,0.84545,0.8867,0.58657,1.27159,0.71127,0.82715,0.000795954,0.000795954,0.000795954
32,261.952,1.25211,0.81033,0.84843,0.79492,0.9,0.8476,0.57851,1.16023,0.74496,0.82106,0.000783231,0.000783231,0.000783231
33,270.118,1.24467,0.80011,0.83861,0.88846,0.87879,0.90684,0.58906,1.26193,0.71485,0.8252,0.000770234,0.000770234,0.000770234
34,278.238,1.23995,0.79954,0.84809,0.88305,0.89234,0.90364,0.62222,1.13108,0.67092,0.81184,0.000756976,0.000756976,0.000756976
35,286.405,1.22527,0.77748,0.8416,0.87906,0.89697,0.91891,0.60253,1.23865,0.66481,0.82375,0.000743468,0.000743468,0.000743468
36,294.534,1.22008,0.78045,0.84235,0.8104,0.9196,0.90244,0.60393,1.14806,0.6904,0.81636,0.000729725,0.000729725,0.000729725
37,302.668,1.19745,0.76791,0.84122,0.89284,0.93419,0.95363,0.66456,1.0666,0.63709,0.8087,0.000715761,0.000715761,0.000715761
38,310.887,1.18905,0.78379,0.83744,0.9136,0.90909,0.94835,0.66585,1.12629,0.62933,0.80739,0.000701588,0.000701588,0.000701588
39,319.065,1.21114,0.73972,0.83212,0.85783,0.93247,0.90842,0.62801,1.09799,0.64349,0.81524,0.000687222,0.000687222,0.000687222
40,327.222,1.1727,0.75206,0.83183,0.9399,0.9303,0.96054,0.67213,1.08718,0.61615,0.80858,0.000672675,0.000672675,0.000672675
41,335.417,1.20153,0.76514,0.82877,0.90986,0.94848,0.94783,0.64971,1.08676,0.61434,0.8064,0.000657963,0.000657963,0.000657963
42,343.579,1.14052,0.74906,0.82695,0.90059,0.95455,0.95089,0.67527,1.01328,0.60602,0.79879,0.000643101,0.000643101,0.000643101
43,351.802,1.15687,0.71878,0.81927,0.90011,0.95455,0.94483,0.64402,1.11374,0.60241,0.80539,0.000628101,0.000628101,0.000628101
44,359.935,1.16696,0.74155,0.83003,0.89068,0.95455,0.93693,0.6666,1.03834,0.58627,0.79903,0.000612981,0.000612981,0.000612981
45,368.078,1.14351,0.74492,0.82663,0.90863,0.94242,0.9571,0.68651,0.99777,0.59672,0.80378,0.000597754,0.000597754,0.000597754
46,376.245,1.15637,0.72236,0.82692,0.93621,0.93396,0.95796,0.67581,1.05087,0.58316,0.80748,0.000582435,0.000582435,0.000582435
47,384.376,1.15661,0.72685,0.82963,0.9314,0.93333,0.96262,0.69816,0.97518,0.57364,0.8023,0.00056704,0.00056704,0.00056704
48,392.575,1.15572,0.71643,0.82506,0.90708,0.95758,0.95886,0.66265,1.04351,0.57541,0.80774,0.000551584,0.000551584,0.000551584
49,400.712,1.13156,0.69599,0.8268,0.93886,0.95152,0.96612,0.70893,0.96389,0.55556,0.80043,0.000536081,0.000536081,0.000536081
50,408.92,1.13224,0.69816,0.82085,0.93369,0.95758,0.96884,0.67984,1.00431,0.5709,0.80227,0.000520548,0.000520548,0.000520548
51,417.056,1.156,0.70818,0.82505,0.88095,0.96425,0.95674,0.68892,0.98751,0.57241,0.80129,0.000505,0.000505,0.000505
52,425.204,1.12871,0.69829,0.82987,0.92031,0.94545,0.96245,0.68565,0.9741,0.56537,0.79583,0.000489452,0.000489452,0.000489452
53,433.33,1.09701,0.67974,0.81647,0.9351,0.94242,0.96892,0.70025,0.97312,0.54505,0.79584,0.000473919,0.000473919,0.000473919
54,441.484,1.13265,0.67852,0.82417,0.91585,0.95645,0.9415,0.64152,1.09857,0.59461,0.80325,0.000458416,0.000458416,0.000458416
55,449.624,1.09062,0.6731,0.82523,0.91303,0.96667,0.96751,0.683,1.00921,0.55438,0.79932,0.00044296,0.00044296,0.00044296
56,457.738,1.08441,0.66595,0.82044,0.91863,0.95455,0.95116,0.67473,1.00401,0.55191,0.79651,0.000427565,0.000427565,0.000427565
57,465.861,1.08396,0.67888,0.8196,0.86981,0.93133,0.93621,0.68643,0.93335,0.57079,0.79541,0.000412246,0.000412246,0.000412246
58,474.002,1.10271,0.67112,0.81503,0.94953,0.93636,0.9715,0.70919,0.93013,0.54067,0.79132,0.000397019,0.000397019,0.000397019
59,482.207,1.06908,0.64658,0.81392,0.93839,0.96364,0.96908,0.70701,0.96263,0.53424,0.79453,0.000381899,0.000381899,0.000381899
60,490.356,1.04906,0.65551,0.81521,0.92646,0.95758,0.96183,0.67698,1.00765,0.53953,0.79717,0.000366899,0.000366899,0.000366899
61,498.494,1.04513,0.65422,0.82379,0.92413,0.95974,0.97022,0.69696,0.97749,0.54103,0.79719,0.000352037,0.000352037,0.000352037
62,506.632,1.03132,0.62883,0.8121,0.92213,0.96888,0.97183,0.68506,0.95998,0.54076,0.79537,0.000337325,0.000337325,0.000337325
63,514.745,1.02345,0.62786,0.81559,0.94304,0.95758,0.96781,0.71701,0.90559,0.5063,0.79081,0.000322778,0.000322778,0.000322778
64,522.928,1.04904,0.61439,0.81426,0.93164,0.94991,0.96522,0.72711,0.8965,0.50711,0.79119,0.000308412,0.000308412,0.000308412
65,531.133,1.00909,0.62155,0.80977,0.92655,0.96061,0.96018,0.72138,0.90355,0.51001,0.78857,0.000294239,0.000294239,0.000294239
66,539.282,0.99111,0.61533,0.81077,0.93832,0.95455,0.97265,0.73137,0.87452,0.49473,0.7867,0.000280275,0.000280275,0.000280275
67,547.502,0.9911,0.60494,0.80478,0.94914,0.96145,0.97597,0.7253,0.89676,0.49838,0.78606,0.000266532,0.000266532,0.000266532
68,555.663,1.0037,0.59183,0.80018,0.91413,0.96061,0.96196,0.72522,0.86272,0.50228,0.78613,0.000253024,0.000253024,0.000253024
69,563.814,1.01629,0.60407,0.81292,0.93326,0.96364,0.97181,0.73659,0.84252,0.48935,0.78719,0.000239766,0.000239766,0.000239766
70,572.008,0.9663,0.58154,0.80203,0.93792,0.96136,0.96245,0.72423,0.87434,0.49045,0.7869,0.000226769,0.000226769,0.000226769
71,580.214,0.957,0.59129,0.81058,0.95094,0.96364,0.97713,0.72822,0.89133,0.49663,0.78664,0.000214046,0.000214046,0.000214046
