epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4509,1.98111,4.77459,0.00244,0.8112,0.79422,0.82744,0.41999,1.76174,0.87746,0.00269,0.000198305,0.000198305,0.0803678
2,41.723,1.80574,0.95446,0.00186,0.79076,0.74545,0.80847,0.46282,1.66309,0.74232,0.00221,0.000398208,0.000398208,0.0605677
3,59.8677,1.72196,0.7774,0.00177,0.78951,0.78426,0.80914,0.42106,1.81195,0.72284,0.00231,0.000597721,0.000597721,0.0407672
4,77.7623,1.71042,0.75147,0.00182,0.75537,0.86364,0.83124,0.50301,1.44004,0.66215,0.00195,0.000796551,0.000796551,0.020966
5,95.7375,1.61403,0.79829,0.0018,0.78243,0.8391,0.8334,0.45782,1.6525,0.63857,0.00237,0.000994408,0.000994408,0.0011639
6,113.548,1.64018,0.70354,0.00181,0.83361,0.83939,0.85798,0.5126,1.54845,0.54821,0.0023,0.000993906,0.000993906,0.000993906
7,131.498,1.53438,0.67411,0.00163,0.87234,0.89037,0.93345,0.62327,1.23356,0.4986,0.00168,0.000991232,0.000991232,0.000991232
8,149.404,1.52403,0.74185,0.00155,0.87063,0.87692,0.92586,0.61346,1.23287,0.58468,0.00194,0.000988079,0.000988079,0.000988079
9,167.463,1.53943,0.80785,0.00161,0.79704,0.81515,0.85122,0.49692,1.60041,0.68194,0.00209,0.000984449,0.000984449,0.000984449
10,185.279,1.48758,0.73286,0.00146,0.88773,0.83862,0.88465,0.56165,1.32542,0.61311,0.00171,0.000980345,0.000980345,0.000980345
11,203.06,1.43454,0.7192,0.00156,0.86383,0.84545,0.90172,0.58966,1.27568,0.61939,0.00181,0.000975773,0.000975773,0.000975773
12,220.847,1.49046,0.73747,0.00148,0.8238,0.83591,0.88123,0.53605,1.46832,0.66101,0.00192,0.000970736,0.000970736,0.000970736
13,238.598,1.45249,0.73677,0.00143,0.78342,0.81818,0.82211,0.50702,1.40765,0.70399,0.00176,0.000965239,0.000965239,0.000965239
14,256.395,1.43422,0.70251,0.00144,0.85114,0.86061,0.89298,0.52301,1.45013,0.64564,0.00222,0.000959289,0.000959289,0.000959289
15,274.165,1.47458,0.72227,0.00145,0.87801,0.91601,0.94785,0.60418,1.34936,0.57377,0.00183,0.000952889,0.000952889,0.000952889
16,291.943,1.43114,0.70753,0.00146,0.82093,0.87879,0.89824,0.54677,1.40638,0.57916,0.00179,0.000946048,0.000946048,0.000946048
17,309.767,1.43778,0.6727,0.00148,0.71538,0.83636,0.79179,0.4834,1.46045,0.84015,0.00191,0.000938772,0.000938772,0.000938772
18,327.555,1.40277,0.68086,0.00147,0.8686,0.86134,0.90623,0.55618,1.46162,0.58712,0.00192,0.000931067,0.000931067,0.000931067
