epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7924,2.13936,3.82526,0.00293,0.46484,0.57273,0.50253,0.2852,1.43597,1.5907,0.0026,0.000198305,0.000198305,0.0803678
2,28.7324,1.69889,1.65789,0.00205,0.48982,0.6,0.56623,0.32319,1.38371,1.42883,0.00221,0.000398208,0.000398208,0.0605677
3,36.2837,1.59088,1.48107,0.00182,0.51612,0.66364,0.61675,0.32742,1.43297,1.25404,0.00218,0.000597721,0.000597721,0.0407672
4,43.9291,1.62966,1.39807,0.00184,0.54735,0.68182,0.63631,0.35113,1.57667,1.24395,0.00245,0.000796551,0.000796551,0.020966
5,51.3481,1.4938,1.41059,0.00179,0.5953,0.71764,0.69182,0.40041,1.38254,1.36583,0.00217,0.000994408,0.000994408,0.0011639
6,58.9617,1.44312,1.29897,0.00166,0.58334,0.73396,0.69611,0.40659,1.32743,1.32983,0.00204,0.000993906,0.000993906,0.000993906
7,66.4633,1.42406,1.24655,0.00158,0.60226,0.72727,0.7076,0.4329,1.28393,1.15063,0.00182,0.000991232,0.000991232,0.000991232
8,74.0685,1.40082,1.23629,0.00156,0.57962,0.73118,0.68641,0.44426,1.12507,1.14759,0.0017,0.000988079,0.000988079,0.000988079
9,81.6276,1.41914,1.22998,0.00161,0.64405,0.6697,0.69255,0.35706,1.56519,1.28564,0.0023,0.000984449,0.000984449,0.000984449
10,89.1617,1.5073,1.16839,0.00163,0.64642,0.74545,0.75079,0.46264,1.29486,1.0873,0.00191,0.000980345,0.000980345,0.000980345
11,96.6166,1.37427,1.13104,0.00155,0.67168,0.69394,0.73196,0.4637,1.25855,1.07183,0.00183,0.000975773,0.000975773,0.000975773
12,104.026,1.36817,1.11273,0.00145,0.6926,0.76667,0.77835,0.50654,1.14919,1.03471,0.00157,0.000970736,0.000970736,0.000970736
13,111.452,1.40015,1.08837,0.00154,0.72011,0.74068,0.77926,0.44787,1.3488,1.08813,0.00191,0.000965239,0.000965239,0.000965239
14,118.879,1.36181,1.09563,0.00145,0.76344,0.7628,0.82738,0.54468,1.22064,0.90842,0.00179,0.000959289,0.000959289,0.000959289
15,126.246,1.3544,1.07056,0.00138,0.7254,0.78449,0.81136,0.51218,1.35848,0.92624,0.00179,0.000952889,0.000952889,0.000952889
16,133.514,1.32822,1.07905,0.00143,0.69075,0.75758,0.81119,0.54058,1.15583,0.971,0.00158,0.000946048,0.000946048,0.000946048
17,140.957,1.30772,1.06803,0.0014,0.63928,0.72727,0.72482,0.49234,1.11487,1.02449,0.00159,0.000938772,0.000938772,0.000938772
