epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2116,2.36335,9.10829,0.00339,0.00384,0.91212,0.02116,0.01233,1.63809,6.29193,0.00245,0.000655367,0.000655367,0.000655367
2,19.1791,1.86911,5.13061,0.00227,0.47817,0.49704,0.47163,0.18209,1.90075,4.14046,0.00271,0.00125659,0.00125659,0.00125659
3,23.1842,1.93649,3.90112,0.00233,0.57844,0.5946,0.60957,0.27552,1.8429,1.89998,0.00298,0.00179182,0.00179182,0.00179182
4,27.1632,1.85156,2.87066,0.00224,0.56513,0.70885,0.64453,0.29113,1.86648,1.46853,0.00312,0.001703,0.001703,0.001703
5,31.1367,1.78625,2.22127,0.00209,0.63723,0.71818,0.74968,0.4288,1.45293,1.05634,0.00198,0.001604,0.001604,0.001604
6,35.1134,1.69548,1.81463,0.00197,0.80641,0.73215,0.82636,0.4244,1.66282,0.97429,0.00229,0.001505,0.001505,0.001505
7,39.0446,1.66197,1.52792,0.00194,0.74667,0.66667,0.7797,0.4575,1.54915,1.02489,0.00218,0.001406,0.001406,0.001406
8,42.9973,1.61778,1.34704,0.00178,0.83038,0.77141,0.86843,0.51474,1.35681,0.85124,0.00177,0.001307,0.001307,0.001307
9,46.9609,1.53383,1.22211,0.00171,0.78511,0.77879,0.8566,0.5606,1.32936,0.89596,0.00182,0.001208,0.001208,0.001208
10,50.9344,1.47602,1.08757,0.00156,0.81676,0.82121,0.90081,0.58333,1.30494,0.70096,0.00171,0.001109,0.001109,0.001109
11,55.545,1.3924,1.07729,0.00191,0.89781,0.80909,0.93782,0.63708,1.17899,0.6396,0.00164,0.00101,0.00101,0.00101
12,59.3835,1.33037,0.94483,0.00165,0.87803,0.82727,0.9251,0.60164,1.34473,0.61825,0.00194,0.000911,0.000911,0.000911
13,63.1765,1.35187,0.85287,0.00177,0.86662,0.86629,0.92687,0.60531,1.38286,0.59581,0.00185,0.000812,0.000812,0.000812
14,67.0144,1.27213,0.77595,0.00169,0.87552,0.84848,0.93129,0.63415,1.20455,0.60997,0.00158,0.000713,0.000713,0.000713
15,70.8734,1.25837,0.7147,0.00157,0.89864,0.83288,0.94188,0.64971,1.257,0.58344,0.00185,0.000614,0.000614,0.000614
16,74.7371,1.21644,0.66357,0.00152,0.8711,0.87879,0.95053,0.66901,1.17374,0.52491,0.00153,0.000515,0.000515,0.000515
17,78.5829,1.18639,0.6321,0.00151,0.87654,0.87879,0.94569,0.65571,1.20472,0.54813,0.00166,0.000416,0.000416,0.000416
18,82.45,1.13152,0.59843,0.00144,0.8877,0.88633,0.94886,0.67647,1.13039,0.51588,0.00152,0.000317,0.000317,0.000317
19,86.3143,1.16593,0.59027,0.00144,0.89007,0.88182,0.9481,0.68349,1.08313,0.52027,0.00143,0.000218,0.000218,0.000218
20,90.1922,1.11012,0.62082,0.00135,0.89473,0.87569,0.94843,0.6768,1.13352,0.52175,0.0014,0.000119,0.000119,0.000119
