epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1547,1.82182,2.68499,0.96019,0.74521,0.76223,0.79318,0.47051,1.46218,1.0736,0.86435,0.000198305,0.000198305,0.0803678
2,27.4446,1.59979,0.97629,0.89298,0.79071,0.8,0.80151,0.43883,1.65504,0.97608,0.88367,0.000398281,0.000398281,0.0605678
3,35.6422,1.54353,0.93995,0.88324,0.72834,0.76667,0.77216,0.42608,1.6243,0.99412,0.87876,0.000598159,0.000598159,0.0407677
4,43.7378,1.57842,0.95484,0.90055,0.77846,0.85185,0.85145,0.46376,1.54413,0.92236,0.8972,0.000797866,0.000797866,0.0209674
5,51.8081,1.50667,0.93707,0.89617,0.80096,0.84848,0.85009,0.49344,1.54007,0.94302,0.87819,0.00099733,0.00099733,0.00116682
6,59.9239,1.49494,0.91469,0.89467,0.85401,0.81544,0.86053,0.53359,1.45806,0.87136,0.8707,0.000998474,0.000998474,0.000998474
7,68.0105,1.45335,0.91012,0.88682,0.78389,0.91232,0.85649,0.54322,1.36637,0.96292,0.8512,0.000997803,0.000997803,0.000997803
8,76.1117,1.46998,0.89567,0.88223,0.84027,0.82424,0.84131,0.5409,1.40095,0.85324,0.86238,0.000997011,0.000997011,0.000997011
9,84.1796,1.47226,0.92295,0.88212,0.84636,0.79697,0.8595,0.52505,1.50597,0.8714,0.8577,0.000996097,0.000996097,0.000996097
10,92.2334,1.47469,0.90307,0.87811,0.78457,0.86082,0.84405,0.51779,1.371,0.82118,0.85825,0.000995062,0.000995062,0.000995062
11,100.315,1.39376,0.85509,0.8763,0.8074,0.76219,0.81902,0.49634,1.42506,0.84121,0.85015,0.000993906,0.000993906,0.000993906
12,108.311,1.45562,0.85819,0.8731,0.81416,0.82424,0.85785,0.53153,1.38132,0.84949,0.84131,0.000992629,0.000992629,0.000992629
13,116.44,1.40537,0.87055,0.86828,0.85624,0.88442,0.88791,0.59909,1.22816,0.74645,0.83769,0.000991232,0.000991232,0.000991232
14,124.549,1.39868,0.87023,0.8674,0.80098,0.86588,0.83809,0.49986,1.474,0.79446,0.84169,0.000989715,0.000989715,0.000989715
15,132.68,1.40052,0.85535,0.868,0.83658,0.9,0.92464,0.58757,1.30601,0.78169,0.85274,0.000988079,0.000988079,0.000988079
16,140.764,1.36872,0.89078,0.87205,0.80682,0.86063,0.83038,0.51791,1.37177,0.86807,0.83981,0.000986323,0.000986323,0.000986323
17,148.881,1.38607,0.86836,0.85785,0.7109,0.82424,0.80638,0.52018,1.3003,0.85708,0.83218,0.000984449,0.000984449,0.000984449
18,157.058,1.32532,0.85632,0.85538,0.84922,0.85758,0.88332,0.53443,1.37731,0.79247,0.83753,0.000982456,0.000982456,0.000982456
19,165.165,1.363,0.88885,0.86618,0.8402,0.86036,0.88352,0.58132,1.25816,0.8031,0.84119,0.000980345,0.000980345,0.000980345
20,173.243,1.32908,0.84652,0.8597,0.79267,0.84242,0.87087,0.55509,1.27055,0.81763,0.84065,0.000978118,0.000978118,0.000978118
21,181.377,1.30949,0.83119,0.86175,0.81912,0.79593,0.85058,0.55363,1.19947,0.76951,0.83577,0.000975773,0.000975773,0.000975773
22,189.454,1.37045,0.82408,0.86497,0.7506,0.86364,0.82658,0.54406,1.20915,0.78864,0.83696,0.000973312,0.000973312,0.000973312
23,197.565,1.30583,0.84938,0.85822,0.81083,0.80531,0.85225,0.55893,1.30883,0.82169,0.84136,0.000970736,0.000970736,0.000970736
24,205.652,1.29983,0.80349,0.85762,0.79879,0.86615,0.83957,0.5544,1.21086,0.79364,0.83403,0.000968045,0.000968045,0.000968045
