epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9731,2.09877,4.25976,0.00271,0.76659,0.79619,0.77459,0.40812,1.66546,0.84793,0.00255,0.000330508,0.000330508,0.0672797
2,21.2091,1.80897,0.90469,0.00191,0.75007,0.76391,0.76293,0.42949,1.55421,0.86041,0.00227,0.000645065,0.000645065,0.0342609
3,31.4027,1.71918,0.84922,0.00177,0.74415,0.81967,0.80928,0.44234,1.70659,0.91633,0.00242,0.000940764,0.000940764,0.00122325
4,41.4434,1.75234,0.80706,0.00175,0.77456,0.8121,0.84437,0.45778,1.65805,0.74281,0.00231,0.000915143,0.000915143,0.000915143
5,51.5091,1.67502,0.73901,0.00175,0.81307,0.8697,0.88039,0.52486,1.5148,0.70602,0.00241,0.000886857,0.000886857,0.000886857
6,61.5597,1.65765,0.70272,0.00175,0.77386,0.79091,0.80649,0.4665,1.60722,0.753,0.00207,0.000858571,0.000858571,0.000858571
7,71.5231,1.54274,0.70573,0.00156,0.85045,0.84438,0.89227,0.53191,1.53065,0.65166,0.00201,0.000830286,0.000830286,0.000830286
8,81.5433,1.55986,0.6711,0.00155,0.83824,0.84545,0.87588,0.5121,1.63683,0.56264,0.00234,0.000802,0.000802,0.000802
9,91.5017,1.60842,0.68489,0.0016,0.87303,0.8,0.86428,0.49781,1.60014,0.73257,0.00216,0.000773714,0.000773714,0.000773714
10,101.535,1.51967,0.67113,0.0014,0.86442,0.85011,0.89761,0.55938,1.32796,0.58675,0.00172,0.000745429,0.000745429,0.000745429
11,111.615,1.46305,0.63912,0.00145,0.86504,0.85461,0.88652,0.56787,1.37129,0.55858,0.00171,0.000717143,0.000717143,0.000717143
12,121.712,1.50871,0.61289,0.00142,0.84984,0.86061,0.89671,0.56236,1.41023,0.5841,0.0017,0.000688857,0.000688857,0.000688857
13,131.681,1.47879,0.6384,0.00141,0.89706,0.86364,0.9303,0.6166,1.24119,0.48191,0.00152,0.000660571,0.000660571,0.000660571
14,141.765,1.4489,0.61583,0.00131,0.87966,0.89697,0.92542,0.60994,1.26855,0.53744,0.00155,0.000632286,0.000632286,0.000632286
15,151.977,1.43971,0.68743,0.0013,0.87356,0.85758,0.91081,0.59463,1.25756,0.57831,0.00159,0.000604,0.000604,0.000604
16,162.053,1.45754,0.63905,0.0014,0.82808,0.88788,0.90573,0.58872,1.29988,0.54109,0.00168,0.000575714,0.000575714,0.000575714
17,172.203,1.42868,0.62456,0.0014,0.84916,0.91212,0.92678,0.60871,1.27132,0.53563,0.00181,0.000547429,0.000547429,0.000547429
18,182.229,1.34651,0.64896,0.00134,0.85491,0.83333,0.90625,0.58331,1.29127,0.57603,0.0016,0.000519143,0.000519143,0.000519143
19,192.223,1.36889,0.64416,0.00136,0.87777,0.90909,0.9303,0.63527,1.18459,0.50131,0.00147,0.000490857,0.000490857,0.000490857
20,202.292,1.37498,0.6242,0.00135,0.90255,0.90606,0.93705,0.62434,1.23003,0.52179,0.00143,0.000462571,0.000462571,0.000462571
21,212.261,1.29428,0.59269,0.0013,0.88519,0.91123,0.93454,0.6339,1.20945,0.51698,0.00144,0.000434286,0.000434286,0.000434286
22,222.221,1.28123,0.582,0.00121,0.86642,0.90412,0.94272,0.66461,1.08647,0.50062,0.0013,0.000406,0.000406,0.000406
23,232.303,1.2696,0.57224,0.00126,0.76665,0.8562,0.84266,0.45045,1.73171,0.7315,0.00214,0.000377714,0.000377714,0.000377714
24,242.285,1.28541,0.5549,0.00121,0.92745,0.88788,0.96227,0.7088,0.9814,0.44901,0.00122,0.000349429,0.000349429,0.000349429
25,252.291,1.20568,0.53292,0.00115,0.90689,0.93333,0.95402,0.71187,0.9602,0.43633,0.00123,0.000321143,0.000321143,0.000321143
26,262.884,1.11305,0.50539,0.00132,0.91307,0.92727,0.95407,0.71736,0.9544,0.42493,0.00116,0.000292857,0.000292857,0.000292857
27,272.715,1.08556,0.46774,0.00131,0.88883,0.9449,0.94598,0.66792,1.07938,0.44261,0.0013,0.000264571,0.000264571,0.000264571
28,282.462,1.14632,0.43979,0.00137,0.92232,0.94242,0.9615,0.64383,1.21712,0.44498,0.00154,0.000236286,0.000236286,0.000236286
29,292.173,1.10195,0.43532,0.00141,0.92862,0.95152,0.96378,0.70659,1.0103,0.38793,0.0012,0.000208,0.000208,0.000208
30,301.93,1.0545,0.42463,0.00137,0.93689,0.94464,0.96251,0.69645,1.04987,0.38212,0.00129,0.000179714,0.000179714,0.000179714
31,311.661,1.03002,0.40943,0.00126,0.90315,0.94545,0.95781,0.70237,1.02328,0.38319,0.00149,0.000151429,0.000151429,0.000151429
32,321.376,0.98551,0.40295,0.00125,0.88397,0.96364,0.96054,0.70522,0.98628,0.38713,0.00117,0.000123143,0.000123143,0.000123143
33,331.12,0.93084,0.35958,0.00106,0.94368,0.94848,0.97571,0.75185,0.87049,0.34096,0.00106,9.48571e-05,9.48571e-05,9.48571e-05
34,340.954,0.94906,0.37301,0.0011,0.93214,0.95737,0.97637,0.72626,0.95583,0.34845,0.00124,6.65714e-05,6.65714e-05,6.65714e-05
35,350.689,0.91937,0.36744,0.00111,0.91447,0.95758,0.96896,0.74828,0.86631,0.33135,0.00104,3.82857e-05,3.82857e-05,3.82857e-05
