epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.03435,2.13502,5.99349,0.00279,0.77625,0.75758,0.77771,0.39544,1.56209,1.02561,0.00198,0.00165254,0.00165254,0.0686017
2,13.58,1.8954,1.25855,0.00196,0.75939,0.73644,0.69588,0.35439,1.91516,0.71478,0.00242,0.00322532,0.00322532,0.0368411
3,19.9728,1.89402,1.01584,0.00193,0.74312,0.73636,0.77724,0.42658,1.74212,0.872,0.00233,0.00470382,0.00470382,0.0049863
4,26.3808,1.82945,0.91072,0.00187,0.80251,0.80038,0.83842,0.41781,1.81669,0.71909,0.00239,0.00457571,0.00457571,0.00457571
5,32.6671,1.77847,0.86684,0.00189,0.82293,0.83089,0.86253,0.47754,1.66036,0.63355,0.00222,0.00443429,0.00443429,0.00443429
6,39.0559,1.74968,0.79668,0.00182,0.77466,0.68753,0.73469,0.40155,1.90539,1.10442,0.0028,0.00429286,0.00429286,0.00429286
7,45.3644,1.75226,0.78677,0.00175,0.86148,0.82926,0.89285,0.51666,1.57543,0.61783,0.00202,0.00415143,0.00415143,0.00415143
8,51.7549,1.71478,0.806,0.00168,0.87484,0.86364,0.91376,0.54453,1.5011,0.54158,0.0019,0.00401,0.00401,0.00401
9,58.1191,1.65319,0.83824,0.00169,0.82444,0.82539,0.86307,0.50863,1.54422,0.66621,0.00192,0.00386857,0.00386857,0.00386857
10,64.4236,1.59681,0.84379,0.0015,0.89057,0.86317,0.91476,0.57583,1.40725,0.56055,0.00168,0.00372714,0.00372714,0.00372714
11,70.7999,1.56588,0.85119,0.00157,0.87112,0.86027,0.9168,0.57626,1.34567,0.65052,0.00169,0.00358571,0.00358571,0.00358571
12,77.2059,1.55227,0.83674,0.00153,0.87616,0.83613,0.88438,0.55798,1.42867,0.61515,0.00183,0.00344429,0.00344429,0.00344429
13,83.5063,1.5747,0.81314,0.00155,0.85635,0.84908,0.90815,0.5562,1.43928,0.58373,0.00177,0.00330286,0.00330286,0.00330286
14,89.814,1.53679,0.80624,0.00144,0.83755,0.85928,0.89561,0.56517,1.39372,0.61717,0.00169,0.00316143,0.00316143,0.00316143
15,96.0937,1.55013,0.8078,0.00147,0.83885,0.86667,0.91251,0.57909,1.33572,0.66042,0.00171,0.00302,0.00302,0.00302
16,102.477,1.5353,0.80038,0.00148,0.86036,0.80285,0.86206,0.47507,1.75454,0.62047,0.00209,0.00287857,0.00287857,0.00287857
17,108.765,1.50138,0.7876,0.00145,0.84101,0.80149,0.83919,0.48151,1.58003,0.71645,0.00186,0.00273714,0.00273714,0.00273714
18,115.073,1.4798,0.73931,0.00143,0.85926,0.86955,0.8807,0.56015,1.4452,0.54339,0.00166,0.00259571,0.00259571,0.00259571
19,121.463,1.47171,0.75757,0.00143,0.85268,0.83333,0.85362,0.53911,1.44815,0.58863,0.00168,0.00245429,0.00245429,0.00245429
20,127.804,1.46355,0.73159,0.00142,0.88302,0.85455,0.91069,0.59794,1.3513,0.54041,0.00171,0.00231286,0.00231286,0.00231286
21,134.178,1.4033,0.70223,0.00137,0.90479,0.92121,0.94701,0.64307,1.19351,0.49122,0.00144,0.00217143,0.00217143,0.00217143
22,140.456,1.4168,0.71883,0.00133,0.88556,0.91454,0.94472,0.62055,1.26059,0.50004,0.00147,0.00203,0.00203,0.00203
23,146.786,1.38162,0.71696,0.00132,0.85123,0.89091,0.91685,0.58433,1.35454,0.58405,0.00158,0.00188857,0.00188857,0.00188857
24,153.124,1.38166,0.6988,0.00135,0.87727,0.88805,0.92155,0.61364,1.29555,0.50583,0.00151,0.00174714,0.00174714,0.00174714
25,159.374,1.33788,0.65283,0.00128,0.91855,0.92727,0.94525,0.61622,1.26753,0.48616,0.00149,0.00160571,0.00160571,0.00160571
26,166.386,1.17718,0.59655,0.00139,0.87994,0.89697,0.9192,0.58981,1.35555,0.49873,0.00166,0.00146429,0.00146429,0.00146429
27,172.566,1.20223,0.56172,0.00143,0.84798,0.89697,0.91499,0.5667,1.44449,0.55618,0.00174,0.00132286,0.00132286,0.00132286
28,178.702,1.20861,0.50505,0.00138,0.88383,0.93939,0.9426,0.59592,1.35425,0.49341,0.00167,0.00118143,0.00118143,0.00118143
29,184.865,1.17587,0.48698,0.00148,0.8724,0.89088,0.9287,0.61443,1.20809,0.56987,0.00147,0.00104,0.00104,0.00104
30,191.027,1.16852,0.493,0.00143,0.87973,0.93098,0.94992,0.63744,1.21051,0.48944,0.00143,0.000898571,0.000898571,0.000898571
31,197.254,1.16229,0.47402,0.00131,0.91814,0.9177,0.9558,0.65855,1.17868,0.43176,0.00137,0.000757143,0.000757143,0.000757143
32,203.489,1.09662,0.42768,0.00127,0.89674,0.94742,0.9612,0.63784,1.23595,0.43617,0.00143,0.000615714,0.000615714,0.000615714
33,209.69,1.07354,0.42238,0.00121,0.90163,0.94545,0.96744,0.68911,1.10079,0.38979,0.00127,0.000474286,0.000474286,0.000474286
34,215.961,1.08959,0.4258,0.00121,0.89321,0.95758,0.95701,0.673,1.13805,0.38782,0.00131,0.000332857,0.000332857,0.000332857
35,222.143,1.06784,0.41859,0.00125,0.91001,0.94242,0.95644,0.66416,1.16549,0.38582,0.00134,0.000191429,0.000191429,0.000191429
